algorithm,arrType,n,dominantOps
quickSort,randomOrder,19,27
linearSearch,sorted,20,10
linearSearch,sortedInReverse,20,20
linearSearch,randomOrder,20,20
binarySearch,sorted,20,1
bubbleSort,sorted,20,19
bubbleSort,sortedInReverse,20,190
bubbleSort,randomOrder,20,169
insertSort,sorted,20,19
insertSort,sortedInReverse,20,209
insertSort,randomOrder,20,116
quickSort,sorted,20,39
quickSort,sortedInReverse,20,39
quickSort,randomOrder,20,23
linearSearch,sorted,21,6
linearSearch,sortedInReverse,21,21
linearSearch,randomOrder,21,21
binarySearch,sorted,21,4
bubbleSort,sorted,21,20
bubbleSort,sortedInReverse,21,210
bubbleSort,randomOrder,21,195
insertSort,sorted,21,20
insertSort,sortedInReverse,21,230
insertSort,randomOrder,21,108
quickSort,sorted,21,41
quickSort,sortedInReverse,21,41
quickSort,randomOrder,21,31
linearSearch,sorted,22,1
linearSearch,sortedInReverse,22,22
linearSearch,randomOrder,22,22
binarySearch,sorted,22,4
bubbleSort,sorted,22,21
bubbleSort,sortedInReverse,22,231
bubbleSort,randomOrder,22,210
insertSort,sorted,22,21
insertSort,sortedInReverse,22,252
insertSort,randomOrder,22,159
quickSort,sorted,22,43
quickSort,sortedInReverse,22,43
quickSort,randomOrder,22,35
linearSearch,sorted,23,7
linearSearch,sortedInReverse,23,23
linearSearch,randomOrder,23,23
binarySearch,sorted,23,4
bubbleSort,sorted,23,22
bubbleSort,sortedInReverse,23,253
bubbleSort,randomOrder,23,250
insertSort,sorted,23,22
insertSort,sortedInReverse,23,275
insertSort,randomOrder,23,133
quickSort,sorted,23,45
quickSort,sortedInReverse,23,45
quickSort,randomOrder,23,27
linearSearch,sorted,24,20
linearSearch,sortedInReverse,24,24
linearSearch,randomOrder,24,24
binarySearch,sorted,24,5
bubbleSort,sorted,24,23
bubbleSort,sortedInReverse,24,276
bubbleSort,randomOrder,24,240
insertSort,sorted,24,23
insertSort,sortedInReverse,24,299
insertSort,randomOrder,24,136
quickSort,sorted,24,47
